fold,target_date,top_k,overlap_count,top_k_accuracy,mean_top10_rank_error,median_top10_rank_error,top10_volume_capture,overall_rank_correlation,actual_cutoff_tie
3,2025-03-31,10,9,0.9,1.4,1.0,1.0,0.9286966686148451,True
3,2025-04-01,10,9,0.9,1.1,1.0,0.9906542056074766,0.9356485896213357,False
3,2025-04-02,10,9,0.9,1.2,1.0,0.9823788546255506,0.9483220031375926,False
3,2025-04-03,10,9,0.9,1.7,2.0,0.9870967741935484,0.939770525085361,False
3,2025-04-04,10,9,0.9,1.9,1.5,0.9832285115303984,0.8869236211510658,False
3,2025-04-05,10,8,0.8,2.8,3.0,0.9516129032258065,0.9396474822356886,True
3,2025-04-06,10,7,0.7,3.0,2.0,0.9510703363914373,0.9174997692946568,True
3,2025-04-07,10,8,0.8,2.9,1.0,0.9657701711491442,0.9204527976867944,False
3,2025-04-08,10,8,0.8,1.7,1.0,0.9545454545454546,0.9279584115168107,False
3,2025-04-09,10,9,0.9,1.2,1.0,0.9705159705159705,0.9191608477652342,False
3,2025-04-10,10,10,1.0,1.8,1.0,1.0,0.9153465194253899,False
3,2025-04-11,10,9,0.9,1.9,1.0,0.9931350114416476,0.9232212618044234,False
3,2025-04-12,10,8,0.8,1.5,1.0,0.9681697612732095,0.91971454058876,True
3,2025-04-13,10,7,0.7,3.7,2.5,0.9659090909090909,0.8931988064843582,True
3,2025-04-14,10,9,0.9,1.6,1.0,0.98989898989899,0.9198991048632686,True
3,2025-04-15,10,9,0.9,2.0,1.5,0.9828009828009828,0.9550278384447384,False
3,2025-04-16,10,8,0.8,1.8,1.0,0.9510869565217391,0.9402626964840506,True
3,2025-04-17,10,8,0.8,1.7,1.0,0.9573991031390134,0.9445076747977483,False
3,2025-04-18,10,8,0.8,2.6,2.0,0.9214876033057852,0.9103632840136577,False
3,2025-04-19,10,8,0.8,2.9,1.0,0.9543010752688172,0.9168230336214587,True
3,2025-04-20,10,9,0.9,0.8,0.0,0.9621451104100947,0.9300501399612415,True
3,2025-04-21,10,9,0.9,2.1,1.0,0.9595687331536388,0.9440770248238949,False
3,2025-04-22,10,9,0.9,1.7,1.0,0.9806763285024155,0.9237134332031129,False
3,2025-04-23,10,8,0.8,1.5,1.0,0.9716494845360825,0.9043341843797102,False
3,2025-04-24,10,8,0.8,2.2,2.0,0.9489795918367347,0.9008274631640468,True
3,2025-04-25,10,8,0.8,2.3,2.0,0.9490291262135923,0.9464763603925067,False
3,2025-04-26,10,8,0.8,1.6,2.0,0.9829683698296837,0.8870466640007383,True
3,2025-04-27,10,9,0.9,1.2,0.0,0.9785932721712538,0.9007044203143745,False
